Date,Price
08-08-2019,52.54000092
09-08-2019,54.5
12-08-2019,54.93000031
13-08-2019,57.09999847
14-08-2019,55.22999954
15-08-2019,54.47000122
16-08-2019,54.86999893
19-08-2019,56.20999908
20-08-2019,56.34000015
21-08-2019,55.68000031
22-08-2019,55.34999847
23-08-2019,54.16999817
26-08-2019,53.63999939
27-08-2019,54.93000031
28-08-2019,55.77999878
29-08-2019,56.70999908
30-08-2019,55.09999847
03-09-2019,53.93999863
04-09-2019,56.25999832
05-09-2019,56.29999924
06-09-2019,56.52000046
09-09-2019,57.84999847
10-09-2019,57.40000153
11-09-2019,55.75
12-09-2019,55.09000015
13-09-2019,54.84999847
16-09-2019,62.90000153
17-09-2019,59.34000015
18-09-2019,58.11000061
19-09-2019,58.13000107
20-09-2019,58.09000015
23-09-2019,58.63999939
24-09-2019,57.29000092
25-09-2019,56.49000168
26-09-2019,56.40999985
27-09-2019,55.90999985
30-09-2019,54.06999969
01-10-2019,53.61999893
02-10-2019,52.63999939
03-10-2019,52.45000076
04-10-2019,52.81000137
07-10-2019,52.75
08-10-2019,52.63000107
09-10-2019,52.59000015
10-10-2019,53.54999924
11-10-2019,54.70000076
14-10-2019,53.59000015
15-10-2019,52.81000137
16-10-2019,53.36000061
17-10-2019,53.93000031
18-10-2019,53.77999878
21-10-2019,53.31000137
22-10-2019,54.15999985
23-10-2019,55.97000122
24-10-2019,56.22999954
25-10-2019,56.65999985
28-10-2019,55.81000137
29-10-2019,55.54000092
30-10-2019,55.06000137
31-10-2019,54.18000031
01-11-2019,56.20000076
04-11-2019,56.54000092
05-11-2019,57.22999954
06-11-2019,56.34999847
07-11-2019,57.15000153
08-11-2019,57.24000168
11-11-2019,56.86000061
12-11-2019,56.79999924
13-11-2019,57.11999893
14-11-2019,56.77000046
15-11-2019,57.72000122
18-11-2019,57.04999924
19-11-2019,55.20999908
20-11-2019,57.11000061
21-11-2019,58.58000183
22-11-2019,57.77000046
25-11-2019,58.00999832
26-11-2019,58.40999985
27-11-2019,58.11000061
28-11-2019,56.63999939
29-11-2019,55.16999817
02-12-2019,55.95999908
03-12-2019,56.09999847
04-12-2019,58.43000031
05-12-2019,58.43000031
06-12-2019,59.20000076
09-12-2019,59.02000046
10-12-2019,59.24000168
11-12-2019,58.75999832
12-12-2019,59.18000031
13-12-2019,60.06999969
16-12-2019,60.20999908
17-12-2019,60.93999863
18-12-2019,60.93000031
19-12-2019,61.22000122
20-12-2019,60.43999863
23-12-2019,60.52000046
24-12-2019,61.11000061
26-12-2019,61.68000031
27-12-2019,61.72000122
30-12-2019,61.68000031
31-12-2019,61.06000137
01-01-2020,61.12000084
02-01-2020,61.18000031
03-01-2020,63.04999924
06-01-2020,63.27000046
07-01-2020,62.70000076
08-01-2020,59.61000061
09-01-2020,59.56000137
10-01-2020,59.04000092
13-01-2020,58.08000183
14-01-2020,58.22999954
15-01-2020,57.81000137
16-01-2020,58.52000046
17-01-2020,58.54000092
21-01-2020,58.34000015
22-01-2020,56.74000168
23-01-2020,55.59000015
24-01-2020,54.18999863
27-01-2020,53.13999939
28-01-2020,53.47999954
29-01-2020,53.33000183
30-01-2020,52.13999939
31-01-2020,51.56000137
03-02-2020,50.11000061
04-02-2020,49.61000061
05-02-2020,50.75
06-02-2020,50.95000076
07-02-2020,50.31999969
10-02-2020,49.56999969
11-02-2020,49.93999863
12-02-2020,51.16999817
13-02-2020,51.41999817
14-02-2020,52.04999924
18-02-2020,52.04999924
19-02-2020,53.29000092
20-02-2020,53.77999878
21-02-2020,53.38000107
24-02-2020,51.43000031
25-02-2020,49.90000153
26-02-2020,48.72999954
27-02-2020,47.09000015
28-02-2020,44.75999832
02-03-2020,46.75
03-03-2020,47.18000031
04-03-2020,46.77999878
05-03-2020,45.90000153
06-03-2020,41.27999878
09-03-2020,31.12999916
10-03-2020,39.61999893
11-03-2020,40.54999924
12-03-2020,40.09999847
13-03-2020,40.29000092
16-03-2020,41.20000076
17-03-2020,40.75
18-03-2020,40.59000015
19-03-2020,40.81000137
20-03-2020,41.95999908
23-03-2020,41.90000153
24-03-2020,41.06999969
25-03-2020,41.29000092
26-03-2020,41.59999847
27-03-2020,41.04000092
30-03-2020,41.27000046
31-03-2020,39.91999817
01-04-2020,40.27000046
02-04-2020,41.00999832
03-04-2020,41.70000076
06-04-2020,42.18999863
07-04-2020,41.95000076
08-04-2020,41.22000122
09-04-2020,41.93999863
10-04-2020,41.61000061
13-04-2020,42.66999817
14-04-2020,42.24000168
15-04-2020,42.00999832
16-04-2020,42.88999939
17-04-2020,42.88999939
20-04-2020,42.93000031
21-04-2020,42.58000183
22-04-2020,42.34000015
23-04-2020,42.61999893
24-04-2020,43.34999847
27-04-2020,43.38999939
28-04-2020,43.04000092
29-04-2020,42.97000122
30-04-2020,42.61000061
01-05-2020,42.75999832
04-05-2020,41.50999832
05-05-2020,41.36999893
06-05-2020,39.77000046
07-05-2020,36.75999832
08-05-2020,38.04999924
11-05-2020,37.29999924
12-05-2020,37.33000183
13-05-2020,37.25999832
14-05-2020,38.27999878
15-05-2020,40.15999985
18-05-2020,40.97000122
19-05-2020,41.11000061
20-05-2020,39.31000137
21-05-2020,39.59999847
22-05-2020,39.93000031
26-05-2020,40.31000137
27-05-2020,40.25
28-05-2020,40.59999847
29-05-2020,39.29000092
01-06-2020,40.22000122
02-06-2020,38.72000122
03-06-2020,37.04999924
04-06-2020,39.22000122
05-06-2020,40.66999817
08-06-2020,39.95000076
09-06-2020,41.18999863
10-06-2020,40.59999847
11-06-2020,39.43000031
12-06-2020,40.20000076
15-06-2020,41.04000092
16-06-2020,40.95999908
17-06-2020,40.88000107
18-06-2020,40.83000183
19-06-2020,41.45999908
22-06-2020,40.02999878
23-06-2020,40.63999939
24-06-2020,39.84999847
25-06-2020,38.56000137
26-06-2020,39.56999969
29-06-2020,37.38999939
30-06-2020,36.16999817
01-07-2020,35.79000092
02-07-2020,36.81000137
03-07-2020,37.65999985
06-07-2020,39.15000153
07-07-2020,38.79000092
08-07-2020,37.13999939
09-07-2020,39.61999893
10-07-2020,40.54999924
13-07-2020,40.09999847
14-07-2020,40.29000092
15-07-2020,41.20000076
16-07-2020,40.75
17-07-2020,40.59000015
20-07-2020,40.81000137
21-07-2020,41.95999908
22-07-2020,41.90000153
23-07-2020,41.06999969
24-07-2020,41.29000092
27-07-2020,41.59999847
28-07-2020,41.04000092
29-07-2020,41.27000046
30-07-2020,39.91999817
31-07-2020,40.27000046
03-08-2020,41.00999832
04-08-2020,41.70000076
05-08-2020,42.18999863
06-08-2020,41.95000076
07-08-2020,41.22000122
10-08-2020,41.93999863
11-08-2020,41.61000061
12-08-2020,42.66999817
13-08-2020,42.24000168
14-08-2020,42.00999832
17-08-2020,42.88999939
18-08-2020,42.88999939
19-08-2020,42.93000031
20-08-2020,42.58000183
21-08-2020,42.34000015
24-08-2020,42.61999893
25-08-2020,43.34999847
26-08-2020,43.38999939
27-08-2020,43.04000092
28-08-2020,42.97000122
31-08-2020,42.61000061
01-09-2020,42.75999832
02-09-2020,41.50999832
03-09-2020,41.36999893
04-09-2020,39.77000046
08-09-2020,36.75999832
09-09-2020,38.04999924
10-09-2020,37.29999924
11-09-2020,37.33000183
14-09-2020,37.25999832
15-09-2020,38.27999878
16-09-2020,40.15999985
17-09-2020,40.97000122
18-09-2020,41.11000061
21-09-2020,39.31000137
22-09-2020,39.59999847
23-09-2020,39.93000031
24-09-2020,40.31000137
25-09-2020,40.25
28-09-2020,40.59999847
29-09-2020,39.29000092
30-09-2020,40.22000122
01-10-2020,38.72000122
02-10-2020,37.04999924
05-10-2020,39.22000122
06-10-2020,40.66999817
07-10-2020,39.95000076
08-10-2020,41.18999863
09-10-2020,40.59999847
12-10-2020,39.43000031
13-10-2020,40.20000076
14-10-2020,41.04000092
15-10-2020,40.95999908
16-10-2020,40.88000107
19-10-2020,40.83000183
20-10-2020,41.45999908
21-10-2020,40.02999878
22-10-2020,40.63999939
23-10-2020,39.84999847
26-10-2020,38.56000137
27-10-2020,39.56999969
28-10-2020,37.38999939
29-10-2020,36.16999817
30-10-2020,35.79000092
02-11-2020,36.81000137
03-11-2020,37.65999985
04-11-2020,39.15000153
05-11-2020,38.79000092
06-11-2020,37.13999939
09-11-2020,40.29000092
10-11-2020,41.36000061
11-11-2020,41.45000076
12-11-2020,41.11999893
13-11-2020,40.13000107
16-11-2020,41.34000015
17-11-2020,41.43000031
18-11-2020,41.81999969
19-11-2020,41.74000168
20-11-2020,42.15000153
23-11-2020,43.06000137
24-11-2020,44.90999985
25-11-2020,45.70999908
27-11-2020,45.52999878
30-11-2020,45.34000015
01-12-2020,44.54999924
02-12-2020,45.27999878
03-12-2020,45.63999939
